,BR12,BR16,BR13,BR29,BR23,BR21,BR51,BR50,BR31,BR15,BR41,BR22,BR43,BR11,BR14,BR42,BR35,BR17,BR25,BR27,BR32,BR53
1981-01-01,44.54111,50.0611,39.96587,4.680619,2.8480935,16.923168,32.94718,13.70049,8.140076,40.382977,13.275395,7.3397574,9.184436,44.337067,11.74811,18.216091,9.593144,14.062544,1.2839128,2.4722764,7.4470634,11.515231
1981-02-01,44.208153,46.62611,47.80528,3.1158934,2.138797,11.734684,26.64523,10.799806,3.3026786,35.03472,12.009439,2.7798924,11.164094,43.970467,24.335646,18.352446,5.5185404,7.8289948,1.0259719,1.3496953,5.7513814,5.2970133
1981-03-01,40.993706,32.096676,40.7686,12.264344,7.5778904,17.629835,35.186275,7.9650693,10.309703,35.291515,8.008334,12.182955,4.273407,47.095406,15.057493,12.455115,6.4263444,15.9847,3.7367685,5.445187,9.5678005,12.573598
1981-04-01,32.86091,48.661694,43.707363,6.588743,2.6000829,9.163035,14.791279,4.381294,3.537933,29.993546,8.229444,3.942997,6.838983,27.307468,41.71071,14.958817,4.9899573,5.582912,1.0563737,2.668794,6.257585,3.8959572
1981-05-01,22.84589,67.1132,41.764618,5.171438,2.3890736,7.776818,3.7127433,0.9904557,2.2873375,24.885187,3.7714114,1.0076557,6.144272,12.58403,54.597412,7.9338098,2.7646687,0.89869744,1.2124505,2.6569269,4.9365773,1.1207967
1981-06-01,10.350762,32.99519,25.86234,4.539468,0.33356863,2.608233,3.742343,5.9009867,3.430826,13.144103,7.4625244,0.15205681,8.728522,7.2299514,40.36542,12.5356245,4.2280154,2.230064,0.94224644,2.9635687,4.2050953,2.6307416
1981-07-01,6.7829895,31.313469,14.995229,3.2138119,0.038733885,2.499249,0.1880247,0.49649915,0.63744485,11.953988,3.542097,0.019193057,5.5744214,0.6527931,30.443007,9.751912,3.346891,0.18123706,0.5785318,2.7342331,2.7921522,0.56467396
1981-08-01,13.519587,18.979559,18.995308,2.4654741,0.19340035,2.3069732,1.7449867,1.9780079,1.5008509,12.394231,4.890922,0.20150518,3.8772702,5.0257273,26.54745,10.379128,2.180242,1.2821971,0.31548476,2.199629,4.0314016,0.41224882
1981-09-01,14.856837,13.50378,19.823915,1.0315918,0.0018549564,1.5349113,6.235518,2.0627837,0.84129083,11.955088,5.0102377,0.0798289,9.358767,11.757959,17.269531,11.71105,2.3669784,0.8700002,0.3532876,1.4219909,1.560869,0.8039585
1981-10-01,22.004639,9.202441,21.591024,5.4362063,0.18081306,6.46848,19.365334,7.115006,10.175544,16.922373,10.6394825,3.4818828,4.2406263,23.50598,12.443973,13.522505,7.9412217,9.853701,0.10597541,0.31134406,8.753501,9.399105
1981-11-01,34.009796,10.012273,28.542522,7.565531,0.14017326,8.160655,24.957561,8.103188,11.619852,21.186895,10.516289,4.508845,7.0170083,31.112782,10.981824,13.971276,7.2503905,12.22127,0.4993385,1.3104808,11.957409,11.260505
1981-12-01,38.80208,36.30392,36.138744,4.848451,2.2026014,12.782177,25.216337,13.038285,8.523286,25.582527,13.161371,4.541203,7.103083,34.970066,17.391354,17.381277,8.292005,10.592312,1.4149274,3.0402758,7.5452423,10.8760395
1982-01-01,45.409306,53.704205,43.38346,7.41273,3.0115252,20.11306,37.44979,9.27568,10.561449,50.21633,6.978186,8.044561,4.5667505,50.54012,18.258947,10.059868,7.6535187,17.674599,0.66824317,1.4590031,10.584122,15.735493
1982-02-01,49.74031,61.758377,45.502144,4.855882,4.4216423,19.705793,29.35015,11.988594,3.8494635,45.98892,13.678149,6.445268,11.743506,45.463005,28.146362,22.149689,7.068473,11.808604,1.6031592,2.2760608,3.718097,7.8194385
1982-03-01,44.57833,67.78269,43.672966,4.13668,5.380494,20.002434,31.731346,13.549486,10.771331,50.043682,8.772494,7.7074327,4.426933,43.65953,24.936241,14.687189,9.265464,13.573586,1.433819,1.578947,10.9087105,12.257443
1982-04-01,42.72894,72.10796,54.35209,6.5792418,6.303118,17.961695,20.494802,3.769403,4.648059,48.773735,4.6797686,6.76476,2.354175,32.697548,36.88256,7.137801,4.659442,8.951672,2.6550353,4.517628,7.651164,5.358973
1982-05-01,22.797295,69.81905,48.93193,4.2135625,2.9179206,8.296473,7.948568,4.0957675,2.9144678,33.831722,6.3258896,1.070487,7.022619,17.105022,58.750732,11.784569,4.2970266,2.121806,2.8359067,5.6813035,4.4218187,4.192644
1982-06-01,15.2902565,28.1475,24.915329,3.5136895,0.94168943,3.5274894,1.6078093,7.122268,1.2638743,13.5787945,17.237772,0.26616272,12.437999,4.4489603,31.034542,24.167604,9.22151,0.27806923,1.8157068,4.7174196,2.203291,0.66384053
