,BR12,BR16,BR13,BR29,BR23,BR21,BR51,BR50,BR31,BR15,BR41,BR22,BR43,BR11,BR14,BR42,BR35,BR17,BR25,BR27,BR32,BR53
1981-01-01,311.80725,264.86035,276.26956,95.36952,92.30236,236.84625,329.17935,217.3394,235.29811,278.59677,165.32146,175.45737,139.58818,278.6636,51.95448,146.6569,266.01794,265.1524,60.648716,67.70722,131.95969,259.49127
1981-02-01,259.33734,256.13815,311.9866,29.580412,71.888176,134.9858,203.69447,134.68777,52.682068,218.72932,116.12357,46.91384,171.67271,248.63448,135.19547,140.50203,102.793655,105.67545,46.341118,25.474382,69.96113,80.61127
1981-03-01,239.58241,137.29079,264.85776,352.42178,469.16995,294.57852,352.5369,114.22129,256.76385,218.10036,78.58333,430.47192,42.019585,292.10553,84.27831,91.475136,135.93558,334.5213,368.7805,291.62305,174.18954,304.30072
1981-04-01,186.3673,268.519,268.91495,82.64454,86.29821,106.747246,101.30599,85.61508,41.672153,175.55771,134.99014,89.95729,89.937935,138.41763,308.0019,116.032036,82.06372,80.33683,55.340775,69.573235,75.75051,50.300663
1981-05-01,93.013885,380.05933,202.68085,44.921116,64.09017,84.46359,21.459558,12.497158,21.101318,143.64499,23.190153,11.943108,78.90366,61.40681,356.51624,44.58543,24.570492,5.21415,46.650562,36.032265,52.228546,10.626307
1981-06-01,45.90194,179.93355,144.60594,40.192234,8.39177,16.264,25.11609,99.99587,40.954155,60.286858,83.566734,1.8242973,119.47066,38.483643,291.7443,79.444466,78.01554,25.679476,30.25338,46.912464,30.041595,33.36368
1981-07-01,29.878788,201.60632,84.524635,26.06537,0.7215045,15.983386,1.3383982,4.835755,3.6846173,66.91181,21.531803,0.45275655,70.43421,2.1770623,237.57118,66.53719,26.684887,1.5053084,13.49654,39.931038,26.824184,5.7052464
1981-08-01,67.078545,114.56482,123.50829,18.658678,4.2410116,10.973415,7.082917,20.23264,15.786623,54.75035,40.002636,1.5501735,44.95873,17.092672,222.22006,71.31811,15.809015,9.892586,6.3521943,31.492485,39.695698,4.082696
1981-09-01,95.854004,56.312084,139.25914,6.3393297,0.33139846,6.961612,38.782745,43.84981,11.187607,51.93806,52.01908,1.0421118,175.76315,69.25,155.99248,109.458305,21.830856,6.0914207,7.3847055,19.174377,15.420016,10.629596
1981-10-01,166.89014,26.82519,164.14629,73.65302,0.48323444,63.812443,191.10669,164.00127,225.47318,106.918274,179.80502,47.237022,52.825,179.33963,107.13829,126.98424,195.08566,162.11104,1.2514801,3.3817923,141.73465,206.02354
1981-11-01,243.41913,43.764217,230.87431,129.31947,2.5842273,96.728516,269.8157,137.50386,294.23138,158.02342,132.60275,85.76826,119.19731,238.17789,81.03503,127.20368,162.57605,272.5266,19.357754,25.124157,292.3808,274.97308
