Train,Test
80.41,6.02
81.39,77.4
78.87,58.15
84.61,55.3
81.8,64.48
82.61,82.71
86.23,71.38
83.33,80.25
89.4,66.93
85.0,76.19
79.9,70.8
80.81,87.47
82.27,84.97
80.35,86.07
81.93,73.89
88.1,26.21
88.75,76.21
90.28,93.44
91.37,37.14
91.47,54.75
85.65,74.43
77.82,52.79
87.03,88.49
85.37,82.5
87.31,68.46
90.9,94.21
86.71,80.97
81.87,84.08
85.03,82.14
72.14,73.61
86.98,69.91
85.97,72.09
83.77,81.09
80.3,82.05
80.19,70.46
92.26,90.43
76.1,59.3
84.56,66.64
86.56,83.99
80.78,68.54
83.36,72.06
86.05,85.11
76.62,68.72
84.21,75.72
88.46,79.91
83.66,70.32
81.8,65.89
96.26,51.24
85.37,77.99
83.85,53.3
84.3,62.76
87.44,61.83
80.31,60.1
86.39,70.89
86.17,0.08
86.68,74.94
77.05,75.14
93.04,83.23
83.15,47.47
83.34,65.44
94.55,86.31
84.74,73.57
91.82,81.93
82.5,71.39
91.47,72.28
81.91,77.81
77.99,72.79
81.23,96.58
81.78,79.95
84.89,91.58
82.12,65.55
90.59,77.2
81.87,82.05
88.57,86.89
82.66,52.05
83.07,55.46
88.38,-8.09
90.59,77.18
84.01,52.53
91.09,52.21
83.59,68.03
91.55,73.26
75.97,71.26
92.68,62.75
73.07,82.79
80.3,77.42
86.81,54.38
79.86,59.97
80.85,75.75
74.87,81.94
91.25,11.5
84.34,63.31
89.6,80.21
75.05,79.15
71.96,74.92
88.24,69.83
87.39,76.83
89.18,73.72
89.41,51.37
84.3,80.26
