Train,Test
79.38,80.41
95.52,94.3
92.77,83.33
91.55,79.06
83.0,65.83
79.22,81.46
88.43,84.89
88.08,76.51
87.58,-63.13
95.72,82.59
89.25,40.25
82.17,64.38
81.2,78.6
89.48,78.64
88.96,92.7
79.99,78.45
87.33,37.98
85.76,85.37
93.22,-15.47
82.49,77.88
84.88,82.12
86.0,92.64
82.4,69.16
88.06,54.96
91.81,79.45
82.69,83.71
75.37,70.91
84.43,70.16
88.62,87.03
95.4,91.25
87.33,81.75
86.78,56.47
89.24,68.01
80.15,77.46
78.65,72.77
72.51,56.09
90.66,68.32
96.08,82.44
85.95,73.63
86.99,73.02
80.57,81.17
80.26,84.66
86.76,83.93
87.07,50.83
85.28,72.71
88.73,68.36
92.53,80.76
87.61,65.78
85.19,71.8
86.61,78.23
79.53,74.44
83.9,42.59
92.82,59.28
83.47,75.89
83.9,68.96
91.27,81.95
87.59,73.52
94.33,87.44
90.38,81.94
79.33,76.22
88.26,82.33
93.27,69.41
89.26,53.99
89.32,81.52
85.56,86.45
90.56,66.09
95.73,80.82
91.51,91.17
86.84,81.94
93.91,89.88
87.94,54.0
93.2,85.78
82.53,81.94
83.26,74.18
87.32,80.78
81.81,84.08
84.54,77.32
91.09,-3.21
91.11,84.25
92.57,62.64
90.5,50.73
90.62,68.14
88.0,70.85
87.76,69.96
84.12,90.21
81.05,56.15
89.18,56.6
82.93,58.06
88.02,83.64
91.83,89.43
90.76,46.43
86.81,29.71
87.78,76.17
90.66,82.65
87.28,64.26
92.82,82.34
80.21,68.12
88.1,83.62
81.46,80.32
84.3,62.88
90.09,78.69
88.23,87.98
83.68,65.29
76.04,79.92
86.4,80.61
87.13,41.73
87.4,84.51
80.03,77.38
93.59,76.36
85.38,80.22
91.74,55.86
87.61,45.35
91.17,77.11
89.42,69.3
89.58,66.82
76.17,-31.49
88.5,71.97
95.21,67.41
87.54,69.0
92.24,83.15
81.42,76.72
78.37,78.66
94.6,56.97
85.83,70.47
89.87,50.07
77.67,83.87
78.26,64.62
92.67,67.56
86.07,58.37
79.99,72.75
87.79,30.98
87.36,35.6
88.64,61.99
85.45,44.95
84.5,54.45
87.06,79.06
83.67,70.39
79.13,66.66
96.44,73.02
84.4,60.88
85.77,80.62
87.14,90.39
85.3,80.89
84.44,40.48
81.47,87.69
90.47,48.64
94.0,71.38
89.4,59.82
84.59,86.43
88.65,63.28
87.26,87.52
79.68,77.92
91.59,88.66
89.61,78.89
88.01,79.64
92.35,68.01
86.01,78.69
90.5,49.19
85.07,89.48
85.27,40.21
92.71,73.13
85.62,86.82
81.34,76.43
87.23,54.32
87.99,70.04
76.56,73.97
93.16,64.58
83.69,78.32
92.88,50.07
82.88,74.97
80.42,74.61
87.44,89.22
84.78,82.46
84.71,38.16
92.91,74.98
80.71,82.83
83.54,84.73
85.15,62.87
87.45,74.82
84.08,87.71
86.83,85.4
90.79,62.85
85.99,75.26
84.22,82.73
88.13,83.48
82.71,67.0
80.65,74.35
91.64,54.2
84.08,83.78
88.25,39.1
89.4,86.6
92.98,63.58
91.99,88.54
84.69,74.94
87.84,80.05
89.03,59.12
82.29,58.85
88.88,66.26
92.33,71.52
84.15,14.82
86.82,78.64
81.69,60.68
90.41,86.61
81.06,77.2
87.19,84.99
90.0,70.47
93.8,75.3
88.32,14.11
82.89,72.08
79.87,68.94
79.27,81.36
75.72,73.23
91.41,87.42
89.24,71.13
87.66,46.02
81.1,70.05
87.33,84.92
85.33,83.91
89.03,87.3
91.83,93.62
94.63,77.46
94.49,72.99
77.06,89.25
83.85,69.61
89.29,86.56
86.72,84.97
91.93,81.9
81.01,72.88
87.05,46.23
88.85,79.39
90.14,67.86
86.34,75.79
86.01,65.47
90.48,79.85
84.9,67.0
93.02,60.7
88.11,93.18
86.87,87.24
85.64,18.26
93.32,52.28
89.98,90.4
84.79,68.8
90.85,65.18
90.83,67.81
88.03,73.66
93.14,49.65
78.9,64.8
93.35,72.82
86.43,87.86
87.64,88.21
80.23,86.25
84.54,68.91
82.06,80.65
93.72,66.05
88.36,78.91
86.76,82.47
78.57,79.62
77.81,72.19
94.07,86.5
85.26,73.85
88.06,78.32
80.73,68.59
90.47,73.32
88.75,76.79
89.97,79.64
85.84,50.06
93.08,62.73
90.84,73.66
82.18,69.94
82.78,79.65
95.4,74.53
94.71,79.54
87.84,63.34
87.69,56.53
85.03,81.34
84.62,72.81
88.65,66.95
88.06,52.67
79.14,91.16
93.52,51.72
82.07,73.78
81.08,79.32
88.09,75.72
85.55,83.2
84.28,67.12
86.16,81.29
89.35,71.36
91.31,-9.59
83.64,78.18
87.3,55.01
74.7,53.59
89.26,82.28
80.73,65.98
77.48,22.6
86.38,57.55
83.87,-4.65
89.54,70.92
80.23,84.58
86.78,70.48
84.68,74.28
82.09,68.54
85.49,80.98
89.95,65.91
84.88,88.31
86.43,64.49
86.94,81.49
84.35,76.92
84.89,91.15
80.04,73.63
89.94,89.86
93.7,91.7
85.7,83.65
91.85,93.86
86.9,69.17
94.55,74.96
87.27,84.0
87.18,31.12
91.48,75.52
79.18,87.66
83.44,74.11
91.16,71.2
85.73,84.84
79.37,69.67
86.99,68.57
91.59,71.93
81.36,77.91
83.76,78.28
87.7,60.3
94.21,61.62
89.49,63.37
85.73,67.53
68.39,53.24
86.18,55.75
83.84,87.77
91.27,89.16
88.54,23.29
82.2,77.9
87.99,71.5
83.84,81.51
81.14,80.22
87.85,81.92
87.41,75.33
92.29,83.42
93.13,71.22
85.07,83.82
85.65,65.94
92.62,38.81
85.31,81.31
90.08,49.27
81.2,53.31
83.46,75.44
92.78,78.36
90.51,45.55
89.12,73.52
91.95,86.98
88.0,92.78
89.06,86.09
78.94,73.82
95.09,78.45
78.48,76.53
86.96,81.98
78.41,87.79
87.3,67.68
82.43,67.7
82.43,84.77
